Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
At last! The single-crystal X-ray structure of a naturally occurring sample of the ilmenite-type oxide FeCrO<sub>3</sub>,ELIZALDE GONZALEZ MARIA DE LA PAZ,6,,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,OCT 2015,71,,,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0
"Influence of Ni doping on the structural, optical and textural properties of TiO<sub>2</sub> nanocrystals prepared via an ultrasound assisted sol-gel method",ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,MAR 2014,69,,,10,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,0,0,0,1
TiO<sub>2</sub> Immobilized on Manihot Carbon: Optimal Preparation and Evaluation of Its Activity in the Decomposition of Indigo Carmine,ELIZALDE GONZALEZ MARIA DE LA PAZ,4,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,JAN 2015,16,,,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,2,0
Bulk and surface analysis of Ti<sub>1-<i>x</i></sub>Fe<i><sub>x</sub></i>O<sub>2</sub>/Fe<sub>2</sub>O<sub>3</sub> composites prepared by solid state reaction for photocatalytic applications,ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,SURFACE AND INTERFACE ANALYSIS,APR 2012,44,,,9,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0,0,0,0,0,0,0
"Volatile compounds in different parts of the fruit <i>Psidium guajava</i> L. cv. Media China"" identified at distinct phenological stages using HS-SPME-GC-QTOF/MS""",ELIZALDE GONZALEZ MARIA DE LA PAZ,2,,PHYTOCHEMICAL ANALYSIS,NOV-DEC 2018,29,,,8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0
"Validating the use of Carbopack C for chromatoscopic studies:: morphological, crystallographic, spectroscopic and adsorption characterization",ELIZALDE GONZALEZ MARIA DE LA PAZ,6,,MATERIALS CHEMISTRY AND PHYSICS,JUN 15 2004,85,,,8,0.38,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0
Behaviour of organoarsenic compounds in contact with natural zeolites,ELIZALDE GONZALEZ MARIA DE LA PAZ,3,,APPLIED ORGANOMETALLIC CHEMISTRY,JAN 2002,16,,,8,0.35,0,0,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Water and dye adsorption properties of cactaceous material,ELIZALDE GONZALEZ MARIA DE LA PAZ,4,,JOURNAL OF MATERIALS SCIENCE LETTERS,JUL 15 1997,16,,,8,0.29,1,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Composite functioning as trap of photoproducts: TiO<sub>2</sub> nanobelts anchored to carbon particles,ELIZALDE GONZALEZ MARIA DE LA PAZ,2,,MATERIALS CHEMISTRY AND PHYSICS,APR 15 2019,228,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0
Preparation and <i>in situ</i> spectroscopic characterization of Cu-clinoptilolite catalysts for the oxidative carbonylation of methanol,ELIZALDE GONZALEZ MARIA DE LA PAZ,3,,MICROPOROUS AND MESOPOROUS MATERIALS,DEC 1 2012,164,,,7,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0
Investigation of the degradation of arsenobetaine during its contact with natural zeolites and the identification of metabolites using HPLC coupled with ICP-MS and ESI-MS,ELIZALDE GONZALEZ MARIA DE LA PAZ,4,,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,APR 2008,390,,,7,0.41,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
"Interaction between organic vapors and clinoptilolite-mordenite rich tuffs in parent, decationized, and lead exchanged forms",ELIZALDE GONZALEZ MARIA DE LA PAZ,2,,JOURNAL OF COLLOID AND INTERFACE SCIENCE,AUG 15 2007,312,,,7,0.39,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0
