Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AOP in water by means of a DBD conducted in a coaxial reactor,PACHECO SOTELO JOEL OSVALDO,9,,JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES,JAN 31 2008,11,"12th International Conference on Photocatalysis/13th International Conference on Advanced Oxidation Technologies for Treatment of Water, Air and Soil","SEP 24-27, 2007",2,0.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Modeling the voltage drop across the cathode sheath in HPS,PACHECO SOTELO JOEL OSVALDO,7,,IEEE TRANSACTIONS ON PLASMA SCIENCE,AUG 2007,35,,,2,0.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Modelling and simulation of a current-converter generated DC glow discharge,PACHECO SOTELO JOEL OSVALDO,10,"Hamza, MH","PROCEEDINGS OF THE 25TH IASTED INTERNATIONAL CONFERENCE ON MODELLING, IDENTIFICATION, AND CONTROL",2006,,"25th IASTED International Conference on Modelling, Identification and Control","FEB 06-08, 2006",2,0.11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Event-oriented programming used in the development of a research reactor control simulator,PACHECO SOTELO JOEL OSVALDO,4,"Jamshidi, M; Foulloy, L; Elkamel, A; Jamshidi, JS","Intelligent Automations and Control: Trends Principles, and Applications, Vol 16",2004,16,5th International Symposium on Intelligent Automation and Control/9th International Symposium on Manufacturing and Applications held at the 6th Biannual World Automation Congress,"JUN 28-JUL 01, 2004",2,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Glass melting using an IGBT full bridge resonant converter,PACHECO SOTELO JOEL OSVALDO,5,,GLASS TECHNOLOGY,APR 2000,41,,,2,0.08,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Plasma Torch for Hydrocarbon Reforming,PACHECO SOTELO JOEL OSVALDO,5,,IEEE TRANSACTIONS ON PLASMA SCIENCE,JUL 2018,46,16th Latin American Workshop on Plasma Physics (LAWPP),"SEP 04-08, 2017",1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acid gas degradation by non-thermal plasma and energy estimation,PACHECO SOTELO JOEL OSVALDO,7,"Bilbao, L; Minotti, F; Kelly, H",14TH LATIN AMERICAN WORKSHOP ON PLASMA PHYSICS (LAWPP 2011),2012,370,14th Latin American Workshop on Plasma Physics (LAWPP),"NOV 20-25, 2011",1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Al-Doped Zinc Oxide Film Deposition in Function of Power by AC Bipolar Pulse in Reactive Magnetron Sputtering,PACHECO SOTELO JOEL OSVALDO,8,,IEEE TRANSACTIONS ON PLASMA SCIENCE,NOV 2011,39,,,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mixed wastes vitrification by transferred plasma,PACHECO SOTELO JOEL OSVALDO,10,,PLASMA SCIENCE & TECHNOLOGY,DEC 2007,9,,,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Modelling and simulation of a DBD plasma discharge supplied by a multicell inverter,PACHECO SOTELO JOEL OSVALDO,10,"Hamza, MH","PROCEEDINGS OF THE 25TH IASTED INTERNATIONAL CONFERENCE ON MODELLING, IDENTIFICATION, AND CONTROL",2006,,"25th IASTED International Conference on Modelling, Identification and Control","FEB 06-08, 2006",1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Toxic gas removal by dielectric discharge with Corona effect,PACHECO SOTELO JOEL OSVALDO,8,"HerreraVelazquez, JJE",PLASMA AND FUSION SCIENCE,2006,875,11th Latin American Workshop on Plasma Physics,"DEC 05-09, 2006",1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Microcontroller-based system for the automatic operation of the capacitor banks of the Novillo Tokamak,PACHECO SOTELO JOEL OSVALDO,4,,INTERNATIONAL JOURNAL OF ELECTRONICS,MAR 2000,87,,,1,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
