Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tin and Silicon Phthalocyanines Molecularly Engineered as Traceable Stabilizers of Asphaltenes,BELTRAN CONDE HIRAM ISAAC,5,,ENERGY & FUELS,JAN 2011,25.0,,,14,1.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,2,1,1,0,1,0
Novel phthalocyaninatobis(alkylcarboxylato)silicon(IV) compounds:: NMR data and X-ray structures to study the spacing provided by long hydrocarbon tails that enhance their solubility,BELTRAN CONDE HIRAM ISAAC,7,,CHEMISTRY-A EUROPEAN JOURNAL,JUL 4 2005,11.0,,,14,0.7,0,0,0,0,1,2,0,1,2,2,1,1,2,0,0,1,1,0,0,0,0,0,0
Regioselective Synthesis of Lactulose Esters by Candida antarctica and Thermomyces lanuginosus Lipases,BELTRAN CONDE HIRAM ISAAC,4,,CATALYSTS,SEP 2017,7.0,,,13,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2,1
Structure and conformational motion of seven-coordinate diorganotin(IV) complexes derived from salen and salan type ligands,BELTRAN CONDE HIRAM ISAAC,6,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,NOV 15 2009,694.0,,,13,0.81,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,1,2,1,0,0,0,2,0
The electronic influence on the active site-directed inhibition of acetylcholinesterase by <i>N</i>-aryl-substituted succinimides,BELTRAN CONDE HIRAM ISAAC,6,,JOURNAL OF THE MEXICAN CHEMICAL SOCIETY,OCT-DEC 2007,51.0,,,13,0.72,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,3,2,2,0,0,0,0
Synthesis and characterization of montmorillonite clays with modulable porosity induced with acids and superacids,BELTRAN CONDE HIRAM ISAAC,5,,JOURNAL OF MATERIALS RESEARCH,MAR 2007,22.0,,,13,0.72,0,0,0,0,0,0,1,1,1,3,0,0,2,0,0,1,1,1,1,0,0,1,0
Nanostructured oleic acid/polysorbate 80 emulsions with diminished toxicity in NL-20 cell line: Insights of potential drug carriers,BELTRAN CONDE HIRAM ISAAC,4,,COLLOIDS AND SURFACES B-BIOINTERFACES,MAR 2020,187.0,,,10,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4
New 2D Lanthanide MOFs Constructed from Bis(imide) Pyromellitic Alanine Ligands with Enhanced Fluorescence toward Activation and Modulation of Microstructure,BELTRAN CONDE HIRAM ISAAC,6,,CRYSTAL GROWTH & DESIGN,JUL 1 2020,20.0,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
Supramolecular pairing among heteroaromatic compounds and the cationic surfactant C<sub>12</sub>TAC,BELTRAN CONDE HIRAM ISAAC,10,,FUEL,JUN 1 2015,149.0,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014),"JUN 07-13, 2014",9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,0,0
"New bis-di-organotin compounds derived from aminoacid-imine-hexadentate ligands. Multifunctional evaluation as corrosion inhibitors, antibacterials and asphaltene dispersants/inhibitors",BELTRAN CONDE HIRAM ISAAC,10,,POLYHEDRON,MAR 22 2013,52.0,,,9,0.75,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,1,0,2,0,0
Free-lignin cellulose obtained from agar industry residues using a continuous and minimal solvent reaction/extraction methodology,BELTRAN CONDE HIRAM ISAAC,4,,RSC ADVANCES,2012,2.0,,,9,0.69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,2
"Molecular design and QSAR study of low acute toxicity biocides with 4,4′-dimorpholyl-methane core obtained by microwave-assisted synthesis",BELTRAN CONDE HIRAM ISAAC,8,,GREEN CHEMISTRY,2010,12.0,,,8,0.53,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,2,0,1,0,0
